Ticks,Length
19800,93.8
19600,93.8
19400,93.8
19200,93.8
19000,93.8
18800,93.4
18600,93.1
18400,92.7
18200,92
18000,91.6
17500,90.2
16500,86.6
15000,80.9
12500,71
10000,61.9
7500,50.5
5000,39.9
2500,29.2
1000,23
300,20
19800,93.6
19600,93.6
19400,93.6
19200,93.6
19000,93.4
18800,93.3
18600,93
18300,92.5
18000,92.1
17700,91.5
17400,90.7
17000,89.1
16000,85.2
15000,81.3
13000,73.1
11000,65
9000,56.7
7000,48.4
5000,39.9
3000,31.5
1000,23
300,20.1

300,20
2791,30.5
12658,71.5
12272,69.7
1336,24.3
1254,24
741,21.8
8156,52.9
3792,34.7
2957,31
645,21.3
6604,46.7
5377,41.4
1397,24.6
2439,29
1676,25.8
300,20
